id,parent_id,normalized_name,founded_at,status,company_found_at,since_founded,alpha,beta,closed,development,live,operating,private
r:10042,c:14228,usnap,2008-04-01,operating,2008-04-01,0,0,0,0,0,0,1,0
r:10044,c:14228,talee talee,2008-04-01,operating,2008-04-01,0,0,0,0,0,0,1,0
r:10045,c:4602,digitaljournal,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10046,c:4602,digitaljournal tv,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10047,c:4602,digitaljournal mobi,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10048,c:14244,seoshop free e commerce system,2008-10-17,operating,2008-10-17,0,0,0,0,0,0,1,0
r:10049,c:14244,seoshop professional shoppingcart system,2008-10-17,operating,2008-10-17,0,0,0,0,0,0,1,0
r:10050,c:14244,seoshop ultra managed shoppingcart system,2008-10-17,operating,2008-10-17,0,0,0,0,0,0,1,0
r:10054,c:14247,iqs icon quote system,2003-01-01,operating,2003-01-01,0,0,0,0,0,0,1,0
r:10055,c:14247,iod icon online designer,2003-01-01,operating,2003-01-01,0,0,0,0,0,0,1,0
r:10056,c:14247,icon crm,2003-01-01,operating,2003-01-01,0,0,0,0,0,0,1,0
r:10057,c:14251,koldcast tv,2008-03-15,live,2007-07-01,258,0,0,0,0,1,0,0
r:10059,c:14253,acceleration,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:1006,c:1172,garagegames,2000-04-08,live,1999-01-01,463,0,0,0,0,1,0,0
r:10060,c:14253,virtual incubation,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10061,c:14253,interim marketing services,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10062,c:14259,i dialogue web suite,2001-03-01,operating,2001-03-01,0,0,0,0,0,0,1,0
r:10065,c:14269,images,2008-10-01,operating,2008-10-01,0,0,0,0,0,0,1,0
r:10066,c:14269,videos,2008-10-01,operating,2008-10-01,0,0,0,0,0,0,1,0
r:10067,c:14269,blackberry rich media,2008-10-01,operating,2008-10-01,0,0,0,0,0,0,1,0
r:10080,c:14276,viper mailer,1993-05-03,operating,1993-05-03,0,0,0,0,0,0,1,0
r:10096,c:14287,lego indiana jones,2005-11-01,operating,2005-11-01,0,0,0,0,0,0,1,0
r:101,c:459,socialthing,2008-01-15,private,2007-05-18,242,0,0,0,0,0,0,1
r:10102,c:14302,web puzzles,2008-09-29,operating,2008-09-29,0,0,0,0,0,0,1,0
r:10106,c:11508,ewrite lite,2001-01-01,operating,2001-01-01,0,0,0,0,0,0,1,0
r:10108,c:14325,rightsite asia,2008-01-01,operating,2008-01-01,0,0,0,0,0,0,1,0
r:10110,c:14351,candominium,1974-06-04,operating,1974-06-04,0,0,0,0,0,0,1,0
r:10111,c:14352,rez life magazine,2006-11-01,operating,2006-11-01,0,0,0,0,0,0,1,0
r:10112,c:14352,whatiscollege,2006-11-01,beta,2006-11-01,0,0,1,0,0,0,0,0
r:10113,c:14360,afilio,2005-06-01,operating,2005-06-01,0,0,0,0,0,0,1,0
r:10114,c:14360,blogorama,2005-06-01,operating,2005-06-01,0,0,0,0,0,0,1,0
r:10115,c:14360,dablink,2005-06-01,operating,2005-06-01,0,0,0,0,0,0,1,0
r:10116,c:14360,angkor,2005-06-01,operating,2005-06-01,0,0,0,0,0,0,1,0
r:10120,c:14364,voxconnect,2006-02-01,operating,2006-02-01,0,0,0,0,0,0,1,0
r:10121,c:14366,beatingaddiction,2005-01-01,operating,2005-01-01,0,0,0,0,0,0,1,0
r:10122,c:14367,vending,1994-01-01,operating,1994-01-01,0,0,0,0,0,0,1,0
r:10123,c:14367,ok mfg,1994-01-01,operating,1994-01-01,0,0,0,0,0,0,1,0
r:10124,c:14367,leaf gum,1994-01-01,operating,1994-01-01,0,0,0,0,0,0,1,0
r:10125,c:14367,northwestern mfg,1994-01-01,operating,1994-01-01,0,0,0,0,0,0,1,0
r:10126,c:14367,nestlie,1994-01-01,operating,1994-01-01,0,0,0,0,0,0,1,0
r:10127,c:14367,wanka,1994-01-01,operating,1994-01-01,0,0,0,0,0,0,1,0
r:1013,c:1180,moko,1991-08-30,live,1991-08-30,0,0,0,0,0,1,0,0
r:10136,c:14368,web enabled temporal analysis system webtas,1997-01-01,operating,1997-01-01,0,0,0,0,0,0,1,0
r:10137,c:14368,combined information data network exchange cidne,1997-01-01,operating,1997-01-01,0,0,0,0,0,0,1,0
r:10139,c:14370,social media marketing pr 2 0,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10140,c:13256,audio books,2006-09-17,operating,2006-09-17,0,0,0,0,0,0,1,0
r:10142,c:11563,ocarina,2008-01-01,operating,2008-01-01,0,0,0,0,0,0,1,0
r:10143,c:14373,creative strategy,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10144,c:14374,green any site,2008-01-01,operating,2008-01-01,0,0,0,0,0,0,1,0
r:10151,c:14384,incharge,2007-07-01,operating,2007-07-01,0,0,0,0,0,0,1,0
r:10155,c:14387,odiogo asp,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10156,c:14387,odiogo enterprise,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10157,c:14391,mobile casino and slot games,2008-09-06,operating,2008-09-06,0,0,0,0,0,0,1,0
r:10158,c:14391,multi user tournament play for money mobile skill games,2008-09-06,operating,2008-09-06,0,0,0,0,0,0,1,0
r:10159,c:14391,multi player mobile poker,2008-09-06,operating,2008-09-06,0,0,0,0,0,0,1,0
r:10161,c:13781,softimage xsi,1986-01-01,operating,1986-01-01,0,0,0,0,0,0,1,0
r:10162,c:13781,softimage face robot,1986-01-01,operating,1986-01-01,0,0,0,0,0,0,1,0
r:10163,c:13781,softimage cat,1986-01-01,operating,1986-01-01,0,0,0,0,0,0,1,0
r:10164,c:13781,softimage alienbrain,1986-01-01,operating,1986-01-01,0,0,0,0,0,0,1,0
r:10165,c:14396,letscram facebook application,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10166,c:14397,patientcareanalyst,2001-08-01,private,2001-01-01,212,0,0,0,0,0,0,1
r:10167,c:14398,skyrock,1985-08-05,operating,1985-08-05,0,0,0,0,0,0,1,0
r:1017,c:1186,bitgravity,2006-02-01,live,2006-02-01,0,0,0,0,0,1,0,0
r:10170,c:14400,revelation project,2007-10-01,operating,2007-10-01,0,0,0,0,0,0,1,0
r:10171,c:14401,openvxml studio,2003-01-01,operating,2003-01-01,0,0,0,0,0,0,1,0
r:10172,c:14404,map based social bookmarking,2008-11-01,operating,2008-11-01,0,0,0,0,0,0,1,0
r:10173,c:14409,friendzbook,2007-09-21,closed,2007-09-21,0,0,0,1,0,0,0,0
r:10174,c:14384,inport,2007-07-01,operating,2007-07-01,0,0,0,0,0,0,1,0
r:10177,c:14420,the kitchen cd,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10178,c:14420,deborah meadows cd,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10179,c:14420,liquid fusion r various artists cd vol 1,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:1018,c:1165,stylefeeder,2006-05-03,live,2006-05-03,0,0,0,0,0,1,0,0
r:10180,c:14420,liquid fusion r various artists cd vol 2,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10181,c:14420,liquid fusion r various artists cd vol 3,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10182,c:14420,liquid fusion r various artists cd vol 4,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10183,c:14420,liquid fusion r various artists cd vol 5,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10184,c:14420,liquid fusion r nyc blues cd,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10185,c:14420,liquid fusion r nyc blues cd vol 2,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10186,c:14420,liquid fusion r various artists blues cd,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10187,c:14420,liquid fusion r kitchenrocks blues cd,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10188,c:14421,interactive web player,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10189,c:14421,mashup web player,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:1019,c:1187,bluekiwi summer 10,2010-06-10,live,2006-07-20,1421,0,0,0,0,1,0,0
r:10190,c:14421,video dj web player,1998-01-01,operating,1998-01-01,0,0,0,0,0,0,1,0
r:10191,c:14128,tools4com ois,2008-08-01,operating,2008-08-01,0,0,0,0,0,0,1,0
r:10192,c:5267,kookaburra,2006-08-01,operating,2006-08-01,0,0,0,0,0,0,1,0
r:10197,c:14427,bookingbug,2009-11-01,live,2009-11-01,0,0,0,0,0,1,0,0
r:10198,c:3352,salarytrack,2007-02-01,operating,2007-02-01,0,0,0,0,0,0,1,0
r:10199,c:3352,dreamjobalert,2007-02-01,operating,2007-02-01,0,0,0,0,0,0,1,0
r:10201,c:14433,messagespace online advertising,2006-05-01,operating,2006-05-01,0,0,0,0,0,0,1,0
r:10202,c:8638,usear ch,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10203,c:9122,holiday rental comparison site,2009-08-01,beta,2009-03-01,153,0,1,0,0,0,0,0
r:10204,c:14437,millicent pro,2002-01-01,operating,2002-01-01,0,0,0,0,0,0,1,0
r:10205,c:14437,videoboo,2002-01-01,operating,2002-01-01,0,0,0,0,0,0,1,0
r:10206,c:14437,audioboo,2009-03-12,live,2002-01-01,2627,0,0,0,0,1,0,0
r:10207,c:14437,studiom,2002-01-01,operating,2002-01-01,0,0,0,0,0,0,1,0
r:10208,c:14437,mooky,2002-01-01,operating,2002-01-01,0,0,0,0,0,0,1,0
r:10209,c:14443,p2media,1996-09-19,operating,1996-09-19,0,0,0,0,0,0,1,0
r:10210,c:14444,wex engine,2002-10-08,operating,2002-10-08,0,0,0,0,0,0,1,0
r:10211,c:14444,www thedailybrowse,2002-10-08,operating,2002-10-08,0,0,0,0,0,0,1,0
r:10212,c:14451,net software development,2004-06-01,operating,2004-06-01,0,0,0,0,0,0,1,0
r:10213,c:14451,windows server support,2004-06-01,operating,2004-06-01,0,0,0,0,0,0,1,0
r:10214,c:14451,windows desktop support,2004-06-01,operating,2004-06-01,0,0,0,0,0,0,1,0
r:10215,c:14451,business consulting,2004-06-01,operating,2004-06-01,0,0,0,0,0,0,1,0
r:10216,c:14452,job search,2008-10-01,operating,2008-10-01,0,0,0,0,0,0,1,0
r:10217,c:14455,workosaur job postings,2008-08-24,operating,2008-08-24,0,0,0,0,0,0,1,0
r:10218,c:14460,effiads,2006-02-10,operating,2006-02-10,0,0,0,0,0,0,1,0
r:10219,c:14463,wanajob search,2007-02-01,operating,2007-02-01,0,0,0,0,0,0,1,0
r:1022,c:1189,swicki,2008-01-01,operating,2004-01-01,1461,0,0,0,0,0,1,0
r:10220,c:14463,wanajob source,2007-02-01,operating,2007-02-01,0,0,0,0,0,0,1,0
r:10221,c:14464,online booking services,2006-06-20,operating,2006-06-20,0,0,0,0,0,0,1,0
r:10222,c:14465,videomover isoft vc fotomover chaserview,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10223,c:14468,snapstream server,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10224,c:14468,snapstream server qam atsc,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10225,c:14468,snapstream mini,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10226,c:14468,beyond tv,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10227,c:14469,free user,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10228,c:14469,personal subscription,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10229,c:14469,professional subscription,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:1023,c:1236,whrrl,2007-10-23,live,2005-12-01,691,0,0,0,0,1,0,0
r:10230,c:14469,corporate light subscription,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10231,c:14469,corporate subscription,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10232,c:11516,blog ad spot,2008-04-08,operating,2008-04-08,0,0,0,0,0,0,1,0
r:10233,c:12051,video advertising,2007-03-01,operating,2007-03-01,0,0,0,0,0,0,1,0
r:10234,c:14478,myportal cms,2009-10-07,live,2004-07-01,1924,0,0,0,0,1,0,0
r:10235,c:14478,myenterprise,2004-07-01,operating,2004-07-01,0,0,0,0,0,0,1,0
r:10236,c:14483,hit systems hosted servers,2008-09-01,operating,2008-09-01,0,0,0,0,0,0,1,0
r:10237,c:14483,hit systems hosted desktops,2008-09-01,operating,2008-09-01,0,0,0,0,0,0,1,0
r:10238,c:14483,hit systems hosted applications,2008-09-01,operating,2008-09-01,0,0,0,0,0,0,1,0
r:10239,c:14483,hit systems hosted phones,2008-09-01,operating,2008-09-01,0,0,0,0,0,0,1,0
r:1024,c:1541,dapper,2006-10-01,live,2006-10-01,0,0,0,0,0,1,0,0
r:10240,c:14484,koalog constraint solver,2002-06-01,operating,2002-06-01,0,0,0,0,0,0,1,0
r:10241,c:14484,koalog configurator,2002-06-01,operating,2002-06-01,0,0,0,0,0,0,1,0
r:10242,c:14484,koalog car lease,2002-06-01,operating,2002-06-01,0,0,0,0,0,0,1,0
r:10243,c:14484,koalog code coverage,2002-06-01,operating,2002-06-01,0,0,0,0,0,0,1,0
r:10245,c:14486,mobiagent,2008-05-01,operating,2008-05-01,0,0,0,0,0,0,1,0
r:10246,c:14486,mobicvb,2008-05-01,operating,2008-05-01,0,0,0,0,0,0,1,0
r:10251,c:14486,mobiconversion,2008-05-01,operating,2008-05-01,0,0,0,0,0,0,1,0
r:10252,c:14488,slideflickr,2007-05-20,operating,2007-05-20,0,0,0,0,0,0,1,0
r:10253,c:3347,zuigames,2008-11-14,closed,2006-01-01,1048,0,0,1,0,0,0,0
r:10254,c:14499,ava systems bose,1995-01-01,operating,1995-01-01,0,0,0,0,0,0,1,0
r:10255,c:14499,ava systems anchor,1995-01-01,operating,1995-01-01,0,0,0,0,0,0,1,0
r:10256,c:14499,ava systems polycom,1995-01-01,operating,1995-01-01,0,0,0,0,0,0,1,0
r:10257,c:14503,myeclipse enterprise workbench j2ee and web ide,1997-06-01,operating,1997-06-01,0,0,0,0,0,0,1,0
r:10258,c:14503,pulse eclipse profile and software management,1997-06-01,operating,1997-06-01,0,0,0,0,0,0,1,0
r:10259,c:14505,www trektrac,2007-11-15,operating,2007-11-15,0,0,0,0,0,0,1,0
r:1026,c:1544,clicktale,2006-06-01,operating,2006-06-01,0,0,0,0,0,0,1,0
r:10260,c:14505,www mototrac,2007-11-15,operating,2007-11-15,0,0,0,0,0,0,1,0
r:10261,c:14506,easy txtr sms software,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10262,c:141559,agility,2002-07-01,live,2002-07-01,0,0,0,0,0,1,0,0
r:10263,c:14510,edwards disaster recovery directory,1990-01-01,operating,1990-01-01,0,0,0,0,0,0,1,0
r:10264,c:14513,mixmatchmusic community,2007-07-01,operating,2007-07-01,0,0,0,0,0,0,1,0
r:10265,c:14513,remix wizard,2007-07-01,operating,2007-07-01,0,0,0,0,0,0,1,0
r:10266,c:14513,mixmaker,2007-07-01,operating,2007-07-01,0,0,0,0,0,0,1,0
r:10267,c:12277,www tradeblack,2008-05-14,operating,2008-05-14,0,0,0,0,0,0,1,0
r:10270,c:3949,hosted mobile payments for web apps,2000-11-15,operating,2000-11-15,0,0,0,0,0,0,1,0
r:10271,c:3949,managed mobile payments for handsets,2000-11-15,operating,2000-11-15,0,0,0,0,0,0,1,0
r:10272,c:3949,open api for transaction based messaging services,2000-11-15,operating,2000-11-15,0,0,0,0,0,0,1,0
r:10274,c:14521,edo marketing platform,2007-05-01,operating,2007-05-01,0,0,0,0,0,0,1,0
r:10278,c:3641,akvo rsr,2008-03-18,operating,2008-03-18,0,0,0,0,0,0,1,0
r:10279,c:14536,rps gold,2003-01-01,operating,2003-01-01,0,0,0,0,0,0,1,0
r:10281,c:1794,simpletech external storage,2005-08-01,operating,2005-08-01,0,0,0,0,0,0,1,0
r:10282,c:1794,joggle,2005-08-01,operating,2005-08-01,0,0,0,0,0,0,1,0
r:10283,c:1794,g technology external storage,2005-08-01,operating,2005-08-01,0,0,0,0,0,0,1,0
r:10284,c:14546,m a x platform,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10290,c:14550,peer to peer student loan lending platform,2008-01-01,operating,2008-01-01,0,0,0,0,0,0,1,0
r:10291,c:14550,humanscore,2008-01-01,beta,2008-01-01,0,0,1,0,0,0,0,0
r:10292,c:14551,temetra,2002-06-01,operating,2002-06-01,0,0,0,0,0,0,1,0
r:10293,c:14552,sovereign compliance desktop,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10295,c:9373,dynatrace diagnostics,2005-01-01,operating,2005-01-01,0,0,0,0,0,0,1,0
r:10296,c:14565,connectize marketplace,2008-01-01,operating,2008-01-01,0,0,0,0,0,0,1,0
r:10297,c:14566,semantic layers,2007-05-01,operating,2007-05-01,0,0,0,0,0,0,1,0
r:10299,c:14577,learnpipe,2009-12-01,live,2008-01-01,700,0,0,0,0,1,0,0
r:10304,c:14585,voltaichd,2007-06-30,live,2007-06-29,1,0,0,0,0,1,0,0
r:10305,c:14585,revolverhd,2008-05-10,live,2007-06-29,316,0,0,0,0,1,0,0
r:10306,c:14585,hd quick look,2008-08-12,live,2007-06-29,410,0,0,0,0,1,0,0
r:10307,c:14585,flamingohd,2007-10-01,live,2007-06-29,94,0,0,0,0,1,0,0
r:10308,c:14586,corporate sns,2007-04-01,operating,2007-04-01,0,0,0,0,0,0,1,0
r:10315,c:14594,knockout bids,2008-04-01,operating,2008-04-01,0,0,0,0,0,0,1,0
r:10316,c:14596,content management architecture,1993-03-21,operating,1993-03-21,0,0,0,0,0,0,1,0
r:10317,c:14596,email broadcast manager,1993-03-21,operating,1993-03-21,0,0,0,0,0,0,1,0
r:10318,c:14596,online auction management,1993-03-21,operating,1993-03-21,0,0,0,0,0,0,1,0
r:10319,c:12179,vontoo express,2005-01-01,live,2005-01-01,0,0,0,0,0,1,0,0
r:10320,c:12179,vontoo professional,2005-01-01,operating,2005-01-01,0,0,0,0,0,0,1,0
r:10321,c:12179,vontoo embedded,2005-01-01,live,2005-01-01,0,0,0,0,0,1,0,0
r:10322,c:14601,nextbutton,2001-01-01,operating,2001-01-01,0,0,0,0,0,0,1,0
r:10323,c:14601,questionplus,2001-01-01,operating,2001-01-01,0,0,0,0,0,0,1,0
r:10324,c:14601,infinity,2001-01-01,operating,2001-01-01,0,0,0,0,0,0,1,0
r:10327,c:14262,mingle,2007-07-31,live,1992-01-01,5690,0,0,0,0,1,0,0
r:10328,c:7068,snapleague,2005-12-01,operating,2005-12-01,0,0,0,0,0,0,1,0
r:10329,c:14623,qbus,2007-11-01,operating,2007-11-01,0,0,0,0,0,0,1,0
r:10330,c:14623,dupline bus,2007-11-01,operating,2007-11-01,0,0,0,0,0,0,1,0
r:10331,c:14623,hai,2007-11-01,operating,2007-11-01,0,0,0,0,0,0,1,0
r:10333,c:14626,internet development,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10334,c:14630,digital moderation,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10335,c:14630,teambits vote,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10336,c:14630,teambits workshop,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10337,c:14630,teambits unite,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10338,c:14631,pg job site pro,2008-07-01,operating,2008-07-01,0,0,0,0,0,0,1,0
r:1034,c:1200,webcrm,2008-01-01,operating,2005-12-01,761,0,0,0,0,0,1,0
r:10341,c:14644,efleetpro,2001-06-01,operating,2001-06-01,0,0,0,0,0,0,1,0
r:10342,c:14644,ecommercepro,2001-06-01,operating,2001-06-01,0,0,0,0,0,0,1,0
r:10343,c:14644,edealerpro,2001-06-01,operating,2001-06-01,0,0,0,0,0,0,1,0
r:10344,c:14649,messagebunker,2008-07-01,operating,2008-07-01,0,0,0,0,0,0,1,0
r:10345,c:14657,city of sinners saints,2007-01-01,development,2007-01-01,0,0,0,0,1,0,0,0
r:10346,c:14659,isense ad creator,2004-01-01,operating,2004-01-01,0,0,0,0,0,0,1,0
r:10347,c:14659,page peel,2004-01-01,operating,2004-01-01,0,0,0,0,0,0,1,0
r:10348,c:14659,pay per call,2004-01-01,operating,2004-01-01,0,0,0,0,0,0,1,0
r:10349,c:14662,big universe author,2006-12-01,operating,2006-12-01,0,0,0,0,0,0,1,0
r:1035,c:1203,zattoo,2005-01-01,live,2005-01-01,0,0,0,0,0,1,0,0
r:10350,c:14662,big universe reader,2006-12-01,operating,2006-12-01,0,0,0,0,0,0,1,0
r:10353,c:14668,gather,2005-01-01,operating,2005-01-01,0,0,0,0,0,0,1,0
r:10354,c:14668,gather groups,2005-01-01,operating,2005-01-01,0,0,0,0,0,0,1,0
r:10355,c:14668,gather points,2005-01-01,operating,2005-01-01,0,0,0,0,0,0,1,0
r:10356,c:14670,uploadmanager eu,2007-09-01,live,2003-01-01,1704,0,0,0,0,1,0,0
r:10362,c:12892,delivery monitor,1998-08-20,operating,1998-08-20,0,0,0,0,0,0,1,0
r:10363,c:14682,resmet,2002-01-07,operating,2002-01-07,0,0,0,0,0,0,1,0
r:10364,c:14682,godzillah,2002-01-07,operating,2002-01-07,0,0,0,0,0,0,1,0
r:10369,c:14692,web site development,2003-05-01,operating,2003-05-01,0,0,0,0,0,0,1,0
r:10370,c:14692,graphic design logos,2003-05-01,operating,2003-05-01,0,0,0,0,0,0,1,0
r:10371,c:14692,marketing consultations,2003-05-01,operating,2003-05-01,0,0,0,0,0,0,1,0
r:10377,c:8731,jot ly,2008-10-19,development,2008-03-01,232,0,0,0,1,0,0,0
r:10378,c:13921,shopping cart optimization,2005-05-15,operating,2005-05-15,0,0,0,0,0,0,1,0
r:10379,c:13921,product recommendation,2005-05-15,operating,2005-05-15,0,0,0,0,0,0,1,0
r:10380,c:13921,a b testing,2005-05-15,operating,2005-05-15,0,0,0,0,0,0,1,0
r:10381,c:13921,multivariate testing,2005-05-15,operating,2005-05-15,0,0,0,0,0,0,1,0
r:10382,c:13921,dynamic personalization,2005-05-15,operating,2005-05-15,0,0,0,0,0,0,1,0
r:10383,c:13921,content targeting,2005-05-15,operating,2005-05-15,0,0,0,0,0,0,1,0
r:10384,c:14696,webnotes toolbar,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10385,c:14696,webnotes lite,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10386,c:14699,mycampus,2003-01-01,operating,2003-01-01,0,0,0,0,0,0,1,0
r:10394,c:14710,guaranteach home tutor,2008-07-01,operating,2008-07-01,0,0,0,0,0,0,1,0
r:10395,c:14711,shub,2008-03-01,operating,2008-03-01,0,0,0,0,0,0,1,0
r:10396,c:14718,canal lrv,2008-06-01,operating,2008-06-01,0,0,0,0,0,0,1,0
r:10397,c:14719,brandvault,2001-01-01,operating,2001-01-01,0,0,0,0,0,0,1,0
r:10398,c:14723,digital base webdevelopment,2004-06-01,operating,2004-06-01,0,0,0,0,0,0,1,0
r:10399,c:14723,digital base web design,2004-06-01,operating,2004-06-01,0,0,0,0,0,0,1,0
r:104,c:112,zlio,2006-09-10,closed,2005-11-01,313,0,0,1,0,0,0,0
r:1040,c:1205,songbird classic desktop,2007-03-01,live,2006-02-01,393,0,0,0,0,1,0,0
r:10400,c:14727,adlogix,2007-09-01,operating,2007-09-01,0,0,0,0,0,0,1,0
r:10401,c:14729,everycity managed dedicated hosting,2006-01-27,operating,2006-01-27,0,0,0,0,0,0,1,0
r:10403,c:14733,personl recruiter suite,2003-02-19,operating,2003-02-19,0,0,0,0,0,0,1,0
r:10404,c:14733,finassets portfolio management platfrom,2003-02-19,operating,2003-02-19,0,0,0,0,0,0,1,0
r:10405,c:14733,pulse realestate franchise suite,2003-02-19,operating,2003-02-19,0,0,0,0,0,0,1,0
r:10406,c:14733,gameplan productivity management suite,2003-02-19,operating,2003-02-19,0,0,0,0,0,0,1,0
r:10407,c:14735,bible trivia on line application,2003-01-19,live,2002-01-01,383,0,0,0,0,1,0,0
